 SOUID,    DATE,   RR, Q_RR
107650,19860917,    0,    0
107650,19860918,    0,    0
107650,19860919,    0,    0
107650,19860920,    0,    0
107650,19860921,    0,    0
107650,19860922,    0,    0
107650,19860923,    0,    0
107650,19860924,    0,    0
107650,19860925,    0,    0
107650,19860926,    0,    0
107650,19860927,    0,    0
107650,19860928,    0,    0
107650,19860929,    0,    0
107650,19860930,    0,    0
107650,19861001,    0,    0
107650,19861002,    0,    0
107650,19861003,    0,    0
107650,19861004,    0,    0
107650,19861005,    0,    0
107650,19861006,    0,    0
107650,19861007,    0,    0
107650,19861008,    0,    0
107650,19861009,    0,    0
107650,19861010,    4,    0
107650,19861011,    0,    0
107650,19861012,    0,    0
107650,19861013,    0,    0
107650,19861014,  214,    0
107650,19861015,    0,    0
107650,19861016,    0,    0
107650,19861017,   16,    0
107650,19861018,   49,    0
107650,19861019,   70,    0
107650,19861020,    4,    0
107650,19861021,  187,    0
107650,19861022,   21,    0
107650,19861023,    0,    0
107650,19861024,   43,    0
107650,19861025,    0,    0
107650,19861026,    2,    0
107650,19861027,   52,    0
107650,19861028,   27,    0
107650,19861029,    0,    0
107650,19861030,    7,    0
107650,19861031,   28,    0
107650,19861101,   34,    0
107650,19861102,    0,    0
107650,19861103,   36,    0
107650,19861104,    0,    0
107650,19861105,    2,    0
107650,19861106,    0,    0
107650,19861107,   42,    0
107650,19861108,    0,    0
107650,19861109,    3,    0
107650,19861110,   62,    0
107650,19861111,    3,    0
107650,19861112,    0,    0
107650,19861113,   35,    0
107650,19861114,  133,    0
107650,19861115,    0,    0
107650,19861116,   12,    0
107650,19861117,   47,    0
107650,19861118,   71,    0
107650,19861119,   53,    0
107650,19861120,   76,    0
107650,19861121,    3,    0
107650,19861122,   22,    0
107650,19861123,    6,    0
107650,19861124,    6,    0
107650,19861125,   15,    0
107650,19861126,    0,    0
107650,19861127,    0,    0
107650,19861128,    0,    0
107650,19861129,    0,    0
107650,19861130,    0,    0
107650,19861201,    2,    0
107650,19861202,    0,    0
107650,19861203,    0,    0
107650,19861204,    0,    0
107650,19861205,   71,    0
107650,19861206,    0,    0
107650,19861207,    7,    0
107650,19861208,   26,    0
107650,19861209,   10,    0
107650,19861210,    0,    0
107650,19861211,   41,    0
107650,19861212,   47,    0
107650,19861213,    0,    0
107650,19861214,    1,    0
107650,19861215,   84,    0
107650,19861216,    0,    0
107650,19861217,   38,    0
107650,19861218,   12,    0
107650,19861219,    0,    0
107650,19861220,    0,    0
107650,19861221,   14,    0
107650,19861222,    0,    0
107650,19861223,    0,    0
107650,19861224,   54,    0
107650,19861225,   36,    0
107650,19861226,    4,    0
107650,19861227,    0,    0
107650,19861228,    0,    0
107650,19861229,   21,    0
107650,19861230,   35,    0
107650,19861231,  103,    0
107650,19870101,    6,    0
107650,19870102,    0,    0
107650,19870103,    1,    0
107650,19870104,   50,    0
107650,19870105,    0,    0
107650,19870106,    0,    0
107650,19870107,    0,    0
107650,19870108,    0,    0
107650,19870109,    0,    0
107650,19870110,    1,    0
107650,19870111,    6,    0
107650,19870112,    1,    0
107650,19870113,   30,    0
107650,19870114,    4,    0
107650,19870115,    0,    0
107650,19870116,    0,    0
107650,19870117,    0,    0
107650,19870118,    0,    0
107650,19870119,    0,    0
107650,19870120,    0,    0
107650,19870121,    3,    0
107650,19870122,    8,    0
107650,19870123,    1,    0
107650,19870124,    0,    0
107650,19870125,    0,    0
107650,19870126,    0,    0
107650,19870127,    0,    0
107650,19870128,    0,    0
107650,19870129,    0,    0
107650,19870130,    0,    0
107650,19870131,    0,    0
107650,19870201,    0,    0
107650,19870202,    0,    0
107650,19870203,    0,    0
107650,19870204,    0,    0
107650,19870205,    0,    0
107650,19870206,    2,    0
107650,19870207,    1,    0
107650,19870208,   17,    0
107650,19870209,    2,    0
107650,19870210,    3,    0
107650,19870211,   18,    0
107650,19870212,    0,    0
107650,19870213,  115,    0
107650,19870214,    4,    0
107650,19870215,    0,    0
107650,19870216,    1,    0
107650,19870217,    0,    0
107650,19870218,    0,    0
107650,19870219,    0,    0
107650,19870220,    0,    0
107650,19870221,    1,    0
107650,19870222,    5,    0
107650,19870223,    0,    0
107650,19870224,    0,    0
107650,19870225,    0,    0
107650,19870226,   49,    0
107650,19870227,   77,    0
107650,19870228,   29,    0
107650,19870301,   35,    0
107650,19870302,    0,    0
107650,19870303,    6,    0
107650,19870304,    3,    0
107650,19870305,   15,    0
107650,19870306,   24,    0
107650,19870307,   42,    0
107650,19870308,    1,    0
107650,19870309,    0,    0
107650,19870310,    0,    0
107650,19870311,    0,    0
107650,19870312,    0,    0
107650,19870313,    0,    0
107650,19870314,    0,    0
107650,19870315,    0,    0
107650,19870316,    0,    0
107650,19870317,   14,    0
107650,19870318,    7,    0
107650,19870319,    1,    0
107650,19870320,    0,    0
107650,19870321,    0,    0
107650,19870322,   48,    0
107650,19870323,   58,    0
107650,19870324,   48,    0
107650,19870325,    2,    0
107650,19870326,   71,    0
107650,19870327,   17,    0
107650,19870328,    5,    0
107650,19870329,    3,    0
107650,19870330,    0,    0
107650,19870331,   27,    0
107650,19870401,   70,    0
107650,19870402,    0,    0
107650,19870403,   36,    0
107650,19870404,   75,    0
107650,19870405,    2,    0
107650,19870406,  131,    0
107650,19870407,    6,    0
107650,19870408,    4,    0
107650,19870409,    5,    0
107650,19870410,   26,    0
107650,19870411,    0,    0
107650,19870412,    0,    0
107650,19870413,    0,    0
107650,19870414,    0,    0
107650,19870415,    0,    0
107650,19870416,    0,    0
107650,19870417,    0,    0
107650,19870418,    0,    0
107650,19870419,    3,    0
107650,19870420,    0,    0
107650,19870421,    0,    0
107650,19870422,    0,    0
107650,19870423,    0,    0
107650,19870424,    0,    0
107650,19870425,    0,    0
107650,19870426,    0,    0
107650,19870427,    0,    0
107650,19870428,    0,    0
107650,19870429,   41,    0
107650,19870430,    0,    0
107650,19870501,   16,    0
107650,19870502,   19,    0
107650,19870503,   22,    0
107650,19870504,    0,    0
107650,19870505,    0,    0
107650,19870506,    0,    0
107650,19870507,    0,    0
107650,19870508,    0,    0
107650,19870509,    0,    0
107650,19870510,    0,    0
107650,19870511,   25,    0
107650,19870512,   28,    0
107650,19870513,   99,    0
107650,19870514,   52,    0
107650,19870515,    3,    0
107650,19870516,    0,    0
107650,19870517,   47,    0
107650,19870518,   22,    0
107650,19870519,    0,    0
107650,19870520,    1,    0
107650,19870521,    1,    0
107650,19870522,   59,    0
107650,19870523,   25,    0
107650,19870524,    0,    0
107650,19870525,    0,    0
107650,19870526,    3,    0
107650,19870527,    0,    0
107650,19870528,    0,    0
107650,19870529,    0,    0
107650,19870530,  119,    0
107650,19870531,    0,    0
107650,19870601,    0,    0
107650,19870602,   37,    0
107650,19870603,    3,    0
107650,19870604,  132,    0
107650,19870605,   65,    0
107650,19870606,    0,    0
107650,19870607,   22,    0
107650,19870608,   42,    0
107650,19870609,   19,    0
107650,19870610,   28,    0
107650,19870611,   36,    0
107650,19870612,    0,    0
107650,19870613,    0,    0
107650,19870614,    3,    0
107650,19870615,    0,    0
107650,19870616,   55,    0
107650,19870617,   36,    0
107650,19870618,   73,    0
107650,19870619,   17,    0
107650,19870620,   28,    0
107650,19870621,    0,    0
107650,19870622,   38,    0
107650,19870623,    2,    0
107650,19870624,   15,    0
107650,19870625,   45,    0
107650,19870626,    3,    0
107650,19870627,    0,    0
107650,19870628,    0,    0
107650,19870629,    0,    0
107650,19870630,    0,    0
107650,19870701,    0,    0
107650,19870702,    0,    0
107650,19870703,    0,    0
107650,19870704,    0,    0
107650,19870705,    0,    0
107650,19870706,    0,    0
107650,19870707,    0,    0
107650,19870708,    0,    0
107650,19870709,    0,    0
107650,19870710,    0,    0
107650,19870711,    0,    0
107650,19870712,    0,    0
107650,19870713,    0,    0
107650,19870714,   63,    0
107650,19870715,   65,    0
107650,19870716,   51,    0
107650,19870717,   47,    0
107650,19870718,  159,    0
107650,19870719,  127,    0
107650,19870720,    7,    0
107650,19870721,   32,    0
107650,19870722,    1,    0
107650,19870723,    3,    0
107650,19870724,    3,    0
107650,19870725,    0,    0
107650,19870726,   14,    0
107650,19870727,    4,    0
107650,19870728,   92,    0
107650,19870729,   88,    0
107650,19870730,   17,    0
107650,19870731,    0,    0
107650,19870801,   45,    0
107650,19870802,    4,    0
107650,19870803,    6,    0
107650,19870804,    0,    0
107650,19870805,    0,    0
107650,19870806,    0,    0
107650,19870807,    0,    0
107650,19870808,    0,    0
107650,19870809,    9,    0
107650,19870810,    0,    0
107650,19870811,   16,    0
107650,19870812,    0,    0
107650,19870813,    0,    0
107650,19870814,    0,    0
107650,19870815,    0,    0
107650,19870816,    1,    0
107650,19870817,   10,    0
107650,19870818,    0,    0
107650,19870819,    0,    0
107650,19870820,    0,    0
107650,19870821,   53,    0
107650,19870822,  247,    0
107650,19870823,    0,    0
107650,19870824,   71,    0
107650,19870825,   88,    0
107650,19870826,   21,    0
107650,19870827,    1,    0
107650,19870828,    0,    0
107650,19870829,    0,    0
107650,19870830,    0,    0
107650,19870831,    0,    0
107650,19870901,   57,    0
107650,19870902,    0,    0
107650,19870903,   12,    0
107650,19870904,   18,    0
107650,19870905,   20,    0
107650,19870906,   10,    0
107650,19870907,    2,    0
107650,19870908,    0,    0
