 SOUID,    DATE,   SS, Q_SS
116439,19860223,    0,    0
116439,19860224,   45,    0
116439,19860225,    2,    0
116439,19860226,   91,    0
116439,19860227,   85,    0
116439,19860228,    6,    0
116439,19860301,    0,    0
116439,19860302,   84,    0
116439,19860303,   80,    0
116439,19860304,    0,    0
116439,19860305,    4,    0
116439,19860306,   93,    0
116439,19860307,   61,    0
116439,19860308,   91,    0
116439,19860309,    6,    0
116439,19860310,    6,    0
116439,19860311,    7,    0
116439,19860312,   67,    0
116439,19860313,    0,    0
116439,19860314,   38,    0
116439,19860315,   57,    0
116439,19860316,   56,    0
116439,19860317,   47,    0
116439,19860318,   23,    0
116439,19860319,    0,    0
116439,19860320,   35,    0
116439,19860321,   60,    0
116439,19860322,    0,    0
116439,19860323,   62,    0
116439,19860324,   58,    0
116439,19860325,   38,    0
116439,19860326,   67,    0
116439,19860327,   48,    0
116439,19860328,   55,    0
116439,19860329,   38,    0
116439,19860330,    2,    0
116439,19860331,   61,    0
116439,19860401,   74,    0
116439,19860402,   61,    0
116439,19860403,   20,    0
116439,19860404,   38,    0
116439,19860405,   64,    0
116439,19860406,   12,    0
116439,19860407,    0,    0
116439,19860408,    0,    0
116439,19860409,   61,    0
116439,19860410,    3,    0
116439,19860411,   72,    0
116439,19860412,    5,    0
116439,19860413,   40,    0
116439,19860414,   15,    0
116439,19860415,   54,    0
116439,19860416,   34,    0
116439,19860417,   25,    0
116439,19860418,   10,    0
116439,19860419,    8,    0
116439,19860420,   86,    0
116439,19860421,   34,    0
116439,19860422,   70,    0
116439,19860423,   11,    0
116439,19860424,   97,    0
116439,19860425,   88,    0
116439,19860426,  103,    0
116439,19860427,   13,    0
116439,19860428,   81,    0
116439,19860429,  114,    0
116439,19860430,   59,    0
116439,19860501,  132,    0
116439,19860502,   77,    0
116439,19860503,   40,    0
116439,19860504,   24,    0
116439,19860505,   36,    0
116439,19860506,   60,    0
116439,19860507,   40,    0
116439,19860508,   62,    0
116439,19860509,    3,    0
116439,19860510,   35,    0
116439,19860511,   17,    0
116439,19860512,   41,    0
116439,19860513,   87,    0
116439,19860514,   93,    0
116439,19860515,  122,    0
116439,19860516,  116,    0
116439,19860517,    0,    0
116439,19860518,   59,    0
116439,19860519,  127,    0
116439,19860520,    0,    0
116439,19860521,   20,    0
116439,19860522,   69,    0
116439,19860523,   38,    0
116439,19860524,   95,    0
116439,19860525,    2,    0
116439,19860526,   60,    0
116439,19860527,   75,    0
116439,19860528,   73,    0
116439,19860529,   80,    0
116439,19860530,   40,    0
116439,19860531,    0,    0
116439,19860601,    1,    0
116439,19860602,    6,    0
116439,19860603,   11,    0
116439,19860604,   83,    0
116439,19860605,   85,    0
116439,19860606,   30,    0
116439,19860607,   88,    0
116439,19860608,   30,    0
116439,19860609,    3,    0
116439,19860610,   53,    0
116439,19860611,   59,    0
116439,19860612,  130,    0
116439,19860613,  126,    0
116439,19860614,  133,    0
116439,19860615,  145,    0
116439,19860616,  122,    0
116439,19860617,   59,    0
116439,19860618,  143,    0
116439,19860619,  143,    0
116439,19860620,   33,    0
116439,19860621,   93,    0
116439,19860622,    0,    0
116439,19860623,    0,    0
116439,19860624,   45,    0
116439,19860625,  108,    0
116439,19860626,  105,    0
116439,19860627,  124,    0
116439,19860628,  121,    0
116439,19860629,   89,    0
116439,19860630,   90,    0
116439,19860701,  113,    0
116439,19860702,  119,    0
116439,19860703,  134,    0
116439,19860704,   37,    0
116439,19860705,    2,    0
116439,19860706,   68,    0
116439,19860707,   51,    0
116439,19860708,   44,    0
116439,19860709,   77,    0
116439,19860710,   56,    0
116439,19860711,   36,    0
116439,19860712,    2,    0
116439,19860713,   36,    0
116439,19860714,   14,    0
116439,19860715,   99,    0
116439,19860716,  130,    0
116439,19860717,  127,    0
116439,19860718,   52,    0
116439,19860719,   35,    0
116439,19860720,   35,    0
116439,19860721,   56,    0
116439,19860722,   61,    0
116439,19860723,   32,    0
116439,19860724,  119,    0
116439,19860725,   32,    0
116439,19860726,   27,    0
116439,19860727,   56,    0
116439,19860728,    1,    0
116439,19860729,   71,    0
116439,19860730,   29,    0
116439,19860731,   54,    0
116439,19860801,   92,    0
116439,19860802,  104,    0
116439,19860803,    1,    0
116439,19860804,   35,    0
116439,19860805,  102,    0
116439,19860806,   98,    0
116439,19860807,   15,    0
116439,19860808,   86,    0
116439,19860809,   66,    0
116439,19860810,   32,    0
116439,19860811,   18,    0
116439,19860812,    2,    0
116439,19860813,   32,    0
116439,19860814,    9,    0
116439,19860815,  109,    0
116439,19860816,  120,    0
116439,19860817,   19,    0
116439,19860818,    0,    0
116439,19860819,   24,    0
116439,19860820,  119,    0
116439,19860821,    2,    0
116439,19860822,   51,    0
116439,19860823,   59,    0
116439,19860824,   79,    0
116439,19860825,    0,    0
116439,19860826,    3,    0
116439,19860827,   76,    0
116439,19860828,   40,    0
116439,19860829,   81,    0
116439,19860830,    1,    0
116439,19860831,  108,    0
116439,19860901,    0,    0
116439,19860902,  102,    0
116439,19860903,   39,    0
116439,19860904,  106,    0
116439,19860905,   86,    0
116439,19860906,   16,    0
116439,19860907,  108,    0
116439,19860908,   17,    0
116439,19860909,   93,    0
116439,19860910,   64,    0
116439,19860911,   60,    0
116439,19860912,   59,    0
